topic_index	terms
0	舆情丶研判丶研究院丶引导丶报告丶政法丶电子丶市委丶领导丶舆论丶智库丶房产丶监测丶痛点丶网站丶党报丶安全丶生态丶优质丶精准化丶权威性丶年来丶党政机关丶可视化丶风险丶市委宣传部丶治理丶群体丶政治丶受众
1	数据丶智库丶旅游丶智慧丶公众丶电子丶小程序丶乡村丶智能丶应用丶驱动丶报告丶数据库丶连接丶销售丶政务丶课题丶机制丶定制化丶生态丶营收丶指数丶协同丶特色丶研发丶房产丶城市丶地产丶区域丶空间
2	会员丶党建丶教学丶交流丶社区丶付费丶群体丶课程丶连接丶公益丶学院丶干部丶消费丶读者丶体验丶特色丶流量丶评选丶讲座丶发行丶知识丶变现丶增长丶艺术丶社群丶规模丶教育丶优质丶机关丶理论
3	流量丶文产丶文化产业丶变现丶社群丶公益丶成本丶赋能丶转化丶场景丶效应丶城市丶形象丶招商丶跨界丶演出丶体验丶免费丶移动互联丶交互丶粉丝丶电影丶重构丶儿童丶观众丶冠名丶连接丶展览丶最大化丶盈利
4	创业丶双创丶资金丶广播丶市政府丶高校丶市委丶广大丶电视丶补贴丶成本丶招商丶路演丶创新大赛丶关注度丶市民丶效应丶手机丶创意丶银行丶赞助丶评审丶电视台丶职能丶各大丶力度丶app丶外包丶影响丶规模
5	十九大丶摄影丶赋能丶协会丶峰会丶精神丶采风丶评选丶国际丶政治丶新时代丶展会丶首届丶公信力丶赞助丶驱动丶跨界丶冠名丶变现丶党报丶报告丶调研丶应用丶场景丶转化丶电影丶评审丶论坛丶招商丶采访
6	舆情丶智库丶研究院丶报告丶舆论丶研判丶监测丶政务丶引导丶决策丶治理丶数据丶科学丶调研丶市委丶领导丶现代化丶课题丶社会治理丶网站丶形态丶应用丶评估丶党媒丶风险丶体系丶党委政府丶企事业丶形象丶党政
7	电商丶资讯丶融媒体丶发行丶软件丶研发丶政法丶app丶物流丶应用丶城市丶科技丶区域丶销售丶智库丶生态丶视频丶网站丶智慧丶版权丶上线丶直播丶商城丶数据丶会展丶体验丶第三方丶党建丶自主研发丶人工智能
8	空间丶城市丶政务丶创意丶质量丶文创丶市民丶艺术丶政法丶党建丶文化产业丶人才丶工程丶矩阵丶升级丶落地丶特色丶ip丶优质丶历史丶消费丶产业园丶演出丶教育丶区域丶党报丶改革丶文学丶文明丶布局
9	教育丶创业丶园区丶学生丶基地丶乡村振兴丶小记者丶电商丶服务平台丶融媒体丶农业丶变现丶农村丶会展丶资本丶销售丶商务丶青少年丶农产品丶结构丶创意丶版权丶盈利丶学院丶ip丶记者丶工作室丶电子丶出版丶公信力
